ID_Uzorka;GPS_LAT;GPS_LONG
1;18,471832;77,381103
2;18,460157;77,400796
3;18,475927;77,392612
4;18,482539;77,396895
5;18,474728;77,39335
6;18,484911;77,38161
7;18,474455;77,397094
8;18,459431;77,382839
9;18,478032;77,398894
10;18,491774;77,404182
11;18,459634;77,40802
12;18,482477;77,395647
13;18,489535;77,388058
14;18,485899;77,377543
15;18,487009;77,385694
16;18,483581;77,386038
17;18,48709;77,35935
18;18,482884;77,381082
19;18,479763;77,394186
20;18,463913;77,391384
21;18,468103;77,38982
22;18,481025;77,3949
23;18,484893;77,396711
24;18,487239;77,386082
25;18,468716;77,392601
26;18,47525;77,386092
27;18,479019;77,39088
28;18,476156;77,395024
29;18,501778;77,402308
30;18,477151;77,390563
31;18,488614;77,403236
32;18,500171;77,409727
33;18,481625;77,373812
34;18,47747;77,385502
35;18,475043;77,404394
36;18,467012;77,390307
37;18,480394;77,393735
38;18,492284;77,380856
39;18,475136;77,380304
40;18,489797;77,389501
41;18,484116;77,403955
42;18,487789;77,386274
43;18,491342;77,399917
44;18,478434;77,412001
45;18,492376;77,37181
46;18,484534;77,393217
47;18,499027;77,382569
48;18,470124;77,380238
49;18,48239;77,388678
50;18,488457;77,38397
51;18,484474;77,39394
52;18,489544;77,407305
53;18,48523;77,37823
54;18,496466;77,392177
55;18,481214;77,37745
56;18,488535;77,399633
57;18,464964;77,403552
58;18,484285;77,39927
59;18,487976;77,390964
60;18,490001;77,386258
61;18,460619;77,378131
62;18,48813;77,388957
63;18,484101;77,392783
64;18,4968;77,375397
65;18,491037;77,381973
66;18,488765;77,38566
67;18,464891;77,396275
68;18,478986;77,382649
69;18,470834;77,388311
70;18,484126;77,389751
71;18,493267;77,39676
72;18,478122;77,398771
73;18,487065;77,396001
74;18,481822;77,398611
75;18,484429;77,401208
76;18,489986;77,382929
77;18,485956;77,388998
78;18,48288;77,390217
79;18,486025;77,386155
80;18,496416;77,393787
81;18,483089;77,376444
82;18,488245;77,39238
83;18,466861;77,385176
84;18,467641;77,387169
85;18,491595;77,385247
86;18,502183;77,402576
87;18,471125;77,398135
88;18,478077;77,38771
89;18,487764;77,37981
90;18,469847;77,409636
91;18,475796;77,39717
92;18,482754;77,383903
93;18,465022;77,383811
94;18,495226;77,379807
95;18,486292;77,396742
96;18,472145;77,374885
97;18,479946;77,384671
98;18,472705;77,38407
99;18,492561;77,384823
100;18,479811;77,412183
101;18,484159;77,387292
102;18,489976;77,396019
103;18,478276;77,411164
104;18,487929;77,380183
105;18,49954;77,40847
106;18,474455;77,391565
107;18,467175;77,395598
108;18,47375;77,39795
109;18,48448;77,396443
110;18,467786;77,401522
111;18,479417;77,391076
112;18,480535;77,390271
113;18,491771;77,395988
114;18,481045;77,390696
115;18,502643;77,382375
116;18,474668;77,389958
117;18,474861;77,385282
118;18,488942;77,39606
119;18,465186;77,39846
120;18,498838;77,378403
121;18,486067;77,395323
122;18,469802;77,380965
123;18,463934;77,396745
124;18,47863;77,384087
125;18,479961;77,390725
126;18,475173;77,392068
127;18,467529;77,387844
128;18,476628;77,379493
129;18,476233;77,385815
130;18,472612;77,377512
131;18,483428;77,380564
132;18,47874;77,397225
133;18,481834;77,372215
134;18,494452;77,407066
135;18,487843;77,391245
136;18,492644;77,383951
137;18,491803;77,38472
138;18,454157;77,407331
139;18,493189;77,375409
140;18,45888;77,40485
141;18,488613;77,381401
142;18,460568;77,391431
143;18,482333;77,385416
144;18,483231;77,393491
145;18,480893;77,397031
146;18,48108;77,412659
147;18,475443;77,396289
148;18,48223;77,382286
149;18,488099;77,391559
150;18,495797;77,378138
151;18,477819;77,385572
152;18,488939;77,405676
153;18,475609;77,396946
154;18,496013;77,379925
155;18,488546;77,380256
156;18,483311;77,389073
157;18,475101;77,385951
158;18,500751;77,405829
159;18,469786;77,386629
160;18,48774;77,379496
161;18,476636;77,414851
162;18,471266;77,392954
163;18,467596;77,393263
164;18,477566;77,411588
165;18,485101;77,374987
166;18,492303;77,409347
167;18,497494;77,39439
168;18,487239;77,396421
169;18,47542;77,371095
170;18,491261;77,395716
171;18,464266;77,394183
172;18,492522;77,380189
173;18,487447;77,37543
174;18,483558;77,385084
175;18,475476;77,391585
176;18,478594;77,399763
177;18,461483;77,394187
178;18,470807;77,369616
179;18,497482;77,395811
180;18,469367;77,395391
181;18,48084;77,38431
182;18,488137;77,387349
183;18,487051;77,389463
184;18,490557;77,374305
185;18,473404;77,380473
186;18,467809;77,39016
187;18,478989;77,399056
188;18,48185;77,40224
189;18,478368;77,391062
190;18,475069;77,404132
191;18,481073;77,376232
192;18,473976;77,407761
193;18,48007;77,403033
194;18,483459;77,38945
195;18,478109;77,36752
196;18,501725;77,376036
197;18,470427;77,407525
198;18,474652;77,360102
199;18,480257;77,398679
200;18,475685;77,380072
201;18,480749;77,404081
202;18,469137;77,395211
203;18,470405;77,394579
204;18,485809;77,406912
205;18,464807;77,385587
206;18,500601;77,398131
207;18,485145;77,392496
208;18,485688;77,391423
209;18,487733;77,370204
210;18,477991;77,387935
211;18,457768;77,393595
212;18,485727;77,3767
213;18,483083;77,37434
214;18,471914;77,360804
215;18,480832;77,375998
216;18,490833;77,397063
217;18,473733;77,390216
218;18,487401;77,404524
219;18,47845;77,376546
220;18,479034;77,396708
221;18,46537;77,384822
222;18,468896;77,40804
223;18,474567;77,394066
224;18,470594;77,392359
225;18,482608;77,386535
226;18,472601;77,376716
227;18,48465;77,38097
228;18,48636;77,377401
229;18,494012;77,380842
230;18,48357;77,39357
231;18,474467;77,383357
232;18,49456;77,38655
233;18,47389;77,388791
234;18,469197;77,38461
235;18,482671;77,378241
236;18,481447;77,384551
237;18,488028;77,385747
238;18,482492;77,40129
239;18,488708;77,406151
240;18,463935;77,380968
241;18,480842;77,400242
242;18,484577;77,381795
243;18,48769;77,393434
244;18,488798;77,400216
245;18,474294;77,397235
246;18,469105;77,372516
247;18,475295;77,374905
248;18,489122;77,397793
249;18,483735;77,390308
250;18,465664;77,400553
251;18,471156;77,387234
252;18,482815;77,380048
253;18,497184;77,38665
254;18,478723;77,382181
255;18,479565;77,398255
256;18,476098;77,378472
257;18,482953;77,388446
258;18,486236;77,390198
259;18,487862;77,389501
260;18,480074;77,377939
261;18,4879;77,392578
262;18,477316;77,399139
263;18,48805;77,390469
264;18,481835;77,382969
265;18,465078;77,365649
266;18,480228;77,398839
267;18,488418;77,388938
268;18,474237;77,401808
269;18,486325;77,401633
270;18,465083;77,410966
271;18,476672;77,390444
272;18,487881;77,397539
273;18,492346;77,387865
274;18,472269;77,4055
275;18,482637;77,39315
276;18,488144;77,390809
277;18,470543;77,396214
278;18,467356;77,400368
279;18,488543;77,411792
280;18,479593;77,396471
281;18,462888;77,39022
282;18,476309;77,397168
283;18,475813;77,384066
284;18,496431;77,380506
285;18,466957;77,371878
286;18,489621;77,397519
287;18,502075;77,392563
288;18,478818;77,384806
289;18,466686;77,379404
290;18,47984;77,376125
291;18,487366;77,400976
292;18,474977;77,39373
293;18,485563;77,385683
294;18,466198;77,386478
295;18,49388;77,398033
296;18,48111;77,392414
297;18,473034;77,386151
298;18,479586;77,379946
299;18,481105;77,378444
300;18,481218;77,385118
301;18,47725;77,392757
302;18,461408;77,369824
303;18,475371;77,368302
304;18,50145;77,386019
305;18,482229;77,388552
306;18,4878;77,388532
307;18,458091;77,389817
308;18,481292;77,395561
309;18,476112;77,382088
310;18,489707;77,374758
311;18,494878;77,381993
312;18,483588;77,391906
313;18,471502;77,397207
314;18,477002;77,38568
315;18,484526;77,382691
316;18,504428;77,3919
317;18,473851;77,379783
318;18,481904;77,415174
319;18,471725;77,388459
320;18,499708;77,373631
321;18,484805;77,384198
322;18,489468;77,390425
323;18,490183;77,381058
324;18,482957;77,391728
325;18,489936;77,383879
326;18,491298;77,385558
327;18,482217;77,390452
328;18,474325;77,383652
329;18,485622;77,389241
330;18,492191;77,374162
331;18,490815;77,379566
332;18,494551;77,391286
333;18,476447;77,383369
334;18,470975;77,380146
335;18,488547;77,384206
336;18,471426;77,381045
337;18,467316;77,38737
338;18,48562;77,395301
339;18,482766;77,3937
340;18,477644;77,392246
341;18,47314;77,375266
342;18,477766;77,382102
343;18,50267;77,389094
344;18,481688;77,400655
345;18,481444;77,393446
346;18,479664;77,382174
347;18,486962;77,387056
348;18,486506;77,39088
349;18,474658;77,406237
350;18,467047;77,383427
351;18,478076;77,399325
352;18,467925;77,397053
353;18,478118;77,38079
354;18,482014;77,393559
355;18,471098;77,394024
356;18,469029;77,384627
357;18,469754;77,396124
358;18,481637;77,398962
359;18,48494;77,379519
